Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
36–50,Female,Haiti,Employed,25K–50K,>10,3–5,Business,Deluxe,OTA,Airport Pickup,4,3,1,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Gold,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,
26–35,Male,Saint Barthelemy,Employed,51K–75K,>10,3–5,Leisure,Standard,OTA,"Spa, Gym, Pool, Room Service",3,3,4,4,"Wellness Package, Airport Pickup + Late Checkout",Late Night,Yes,Basic,Frequently,4,Definitely Yes,₹8001–₹12000,No,"Delayed Check-in, High Prices, Limited Wellness Services"
18–25,Female,Maldives,Employed,>1L,6–10,>10,Medical,Standard,Agent,Restaurant,3,4,4,5,"Wellness Package, Spa + Dinner",Morning,Yes,Gold,Rarely,3,Definitely Yes,₹5001–₹8000,No,Delayed Check-in
36–50,Male,Palau,Employed,<25K,6–10,6–10,Business,Standard,OTA,"Room Service, Restaurant, Airport Pickup, Gym",4,5,4,4,Wellness Package,Evening,No,None,Rarely,3,Probably Yes,>₹12000,Yes,Lack of Cleanliness
26–35,Male,China,Employed,51K–75K,3–5,>10,Medical,Deluxe,Walk-in,Spa,3,4,3,3,"Wellness Package, Gym + Breakfast",Evening,Yes,Platinum,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Delayed Check-in, Lack of Cleanliness"
18–25,Female,Gabon,Retired,25K–50K,6–10,6–10,Leisure,Deluxe,Walk-in,"Restaurant, Gym, Pool",4,3,4,2,Spa + Dinner,Morning,No,None,Rarely,5,Probably Yes,₹5001–₹8000,No,Limited Food Options
26–35,Female,Ethiopia,Employed,>1L,3–5,3–5,Business,Standard,OTA,"Spa, Restaurant, Pool",4,2,4,5,Gym + Breakfast,Afternoon,Yes,Platinum,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"High Prices, Lack of Cleanliness"
18–25,Male,Bahamas,Employed,25K–50K,3–5,1–2 days,Leisure,Deluxe,OTA,"Airport Pickup, Room Service",4,3,5,5,"Wellness Package, Spa + Dinner",Afternoon,Yes,Platinum,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Lack of Cleanliness"
51–65,Female,Suriname,Employed,51K–75K,3–5,3–5,Business,Budget,Hotel Website,Spa,4,4,3,2,"Gym + Breakfast, Spa + Dinner",Morning,No,None,Rarely,3,Definitely Yes,>₹12000,Yes,"Limited Wellness Services, Lack of Cleanliness, High Prices"
26–35,Female,Israel,Retired,76K–1L,3–5,3–5,Leisure,Suite,OTA,Restaurant,4,3,4,5,Gym + Breakfast,Evening,Yes,Basic,Rarely,3,Definitely Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, Limited Wellness Services, Limited Food Options"
36–50,Female,Jersey,Self-Employed,76K–1L,3–5,3–5,Leisure,Standard,OTA,"Spa, Gym",5,2,5,4,Airport Pickup + Late Checkout,Afternoon,Yes,Basic,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Limited Food Options"
26–35,Male,Oman,Student,51K–75K,3–5,3–5,Business,Deluxe,Hotel Website,"Room Service, Restaurant, Gym",4,3,2,4,"Spa + Dinner, Wellness Package",Evening,No,None,Sometimes,2,Not Sure,₹8001–₹12000,Yes,"High Prices, Limited Food Options"
36–50,Male,Guernsey,Self-Employed,25K–50K,3–5,3–5,Leisure,Budget,OTA,Airport Pickup,5,5,3,5,"Gym + Breakfast, Airport Pickup + Late Checkout",Morning,Yes,Silver,Rarely,4,Probably No,>₹12000,Yes,"Poor Staff Behavior, High Prices"
36–50,Female,Benin,Employed,25K–50K,6–10,3–5,Medical,Standard,Agent,"Restaurant, Gym",4,5,5,5,"Wellness Package, Airport Pickup + Late Checkout",Evening,Yes,Gold,Rarely,4,Definitely Yes,<₹2000,No,"Limited Wellness Services, Poor Staff Behavior"
26–35,Male,French Southern Territories,Student,25K–50K,1–2 times,3–5,Other,Standard,OTA,Room Service,2,3,4,4,Airport Pickup + Late Checkout,Morning,No,None,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,"High Prices, Limited Food Options, Lack of Cleanliness"
>65,Female,French Polynesia,Employed,25K–50K,>10,1–2 days,Leisure,Deluxe,OTA,"Restaurant, Gym, Pool, Room Service",5,4,4,4,"Wellness Package, Spa + Dinner",Evening,No,None,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, Poor Staff Behavior, Delayed Check-in"
36–50,Female,Wallis and Futuna,Employed,51K–75K,6–10,6–10,Other,Standard,OTA,"Airport Pickup, Room Service, Restaurant",4,3,3,4,"Wellness Package, Gym + Breakfast",Afternoon,Yes,Silver,Frequently,4,Probably Yes,₹8001–₹12000,No,
51–65,Female,Palau,Employed,25K–50K,6–10,1–2 days,Leisure,Suite,Walk-in,"Pool, Gym, Airport Pickup, Restaurant",3,5,3,3,Airport Pickup + Late Checkout,Evening,No,None,Rarely,4,Probably Yes,₹2000–₹5000,No,"Delayed Check-in, High Prices, Lack of Cleanliness"
51–65,Female,Isle of Man,Unemployed,25K–50K,3–5,1–2 days,Leisure,Standard,Hotel Website,"Gym, Room Service, Airport Pickup",4,4,3,3,Spa + Dinner,Evening,Yes,Silver,Frequently,4,Probably Yes,₹2000–₹5000,Yes,"High Prices, Limited Food Options"
36–50,Prefer not to say,Paraguay,Retired,51K–75K,6–10,3–5,Medical,Standard,Agent,"Airport Pickup, Spa",3,4,5,3,"Spa + Dinner, Wellness Package",Evening,Yes,Platinum,Sometimes,3,Definitely Yes,₹5001–₹8000,Yes,Lack of Cleanliness
51–65,Male,American Samoa,Self-Employed,>1L,1–2 times,3–5,Leisure,Budget,OTA,"Pool, Gym, Airport Pickup",4,2,3,3,Gym + Breakfast,Afternoon,Yes,Gold,Frequently,4,Definitely No,₹5001–₹8000,Yes,"Lack of Cleanliness, High Prices"
18–25,Female,Taiwan,Employed,51K–75K,6–10,3–5,Leisure,Deluxe,OTA,"Room Service, Spa, Airport Pickup",3,4,4,3,Spa + Dinner,Afternoon,No,None,Rarely,3,Definitely Yes,₹8001–₹12000,No,"High Prices, Limited Food Options"
26–35,Male,Slovenia,Employed,<25K,1–2 times,1–2 days,Leisure,Standard,OTA,"Gym, Airport Pickup",5,3,3,3,Spa + Dinner,Afternoon,Yes,Basic,Rarely,3,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness, High Prices"
18–25,Male,Puerto Rico,Self-Employed,<25K,6–10,3–5,Medical,Deluxe,OTA,"Restaurant, Room Service, Pool",3,4,4,4,"Wellness Package, Airport Pickup + Late Checkout",Morning,Yes,Gold,Frequently,4,Definitely Yes,₹5001–₹8000,Yes,
26–35,Female,Malaysia,Employed,>1L,>10,3–5,Medical,Suite,Hotel Website,Gym,3,4,3,3,"Wellness Package, Spa + Dinner",Late Night,Yes,Gold,Rarely,4,Definitely Yes,>₹12000,No,Limited Food Options
26–35,Female,Lithuania,Student,25K–50K,3–5,>10,Leisure,Suite,Hotel Website,"Room Service, Gym",3,4,3,4,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,No,None,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,Lack of Cleanliness
26–35,Prefer not to say,Reunion,Employed,<25K,1–2 times,>10,Leisure,Standard,OTA,"Restaurant, Pool",4,3,2,2,"Wellness Package, Airport Pickup + Late Checkout",Late Night,Yes,Basic,Rarely,4,Probably No,₹2000–₹5000,No,
51–65,Female,Saint Martin,Retired,51K–75K,6–10,3–5,Leisure,Deluxe,Agent,"Spa, Pool",4,4,2,3,"Airport Pickup + Late Checkout, Gym + Breakfast",Evening,Yes,Platinum,Sometimes,4,Not Sure,₹8001–₹12000,Yes,"Poor Staff Behavior, High Prices"
26–35,Male,Vietnam,Employed,51K–75K,3–5,3–5,Leisure,Deluxe,OTA,"Room Service, Pool, Airport Pickup, Gym",4,3,4,4,"Wellness Package, Gym + Breakfast",Morning,No,None,Frequently,3,Not Sure,₹8001–₹12000,Yes,"High Prices, Delayed Check-in, Poor Staff Behavior"
26–35,Male,Mauritius,Student,51K–75K,6–10,6–10,Business,Budget,Walk-in,"Pool, Gym, Airport Pickup, Spa",3,3,2,3,Wellness Package,Evening,No,None,Frequently,4,Definitely Yes,₹5001–₹8000,Yes,"Lack of Cleanliness, Delayed Check-in"
36–50,Female,Uruguay,Self-Employed,25K–50K,1–2 times,1–2 days,Leisure,Deluxe,OTA,"Pool, Spa, Room Service",2,3,5,3,Gym + Breakfast,Afternoon,Yes,Gold,Rarely,4,Probably No,₹2000–₹5000,Yes,Delayed Check-in
18–25,Male,Belgium,Employed,<25K,1–2 times,3–5,Leisure,Budget,OTA,"Airport Pickup, Pool",4,2,2,2,Airport Pickup + Late Checkout,Afternoon,Yes,Gold,Rarely,4,Probably No,₹8001–₹12000,No,Limited Food Options
36–50,Male,Philippines,Employed,>1L,>10,3–5,Leisure,Standard,OTA,"Gym, Room Service, Restaurant",5,3,3,4,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Frequently,3,Definitely Yes,₹5001–₹8000,No,"Lack of Cleanliness, Poor Staff Behavior"
18–25,Male,Canada,Employed,25K–50K,6–10,>10,Business,Budget,OTA,Spa,3,4,4,4,"Gym + Breakfast, Spa + Dinner",Late Night,No,None,Frequently,3,Probably Yes,₹8001–₹12000,No,High Prices
>65,Male,Haiti,Employed,51K–75K,6–10,1–2 days,Business,Budget,Hotel Website,"Spa, Restaurant",5,4,3,4,Gym + Breakfast,Afternoon,Yes,Gold,Rarely,4,Probably Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, Poor Staff Behavior, Limited Wellness Services"
36–50,Male,Iceland,Self-Employed,76K–1L,3–5,3–5,Other,Standard,OTA,Airport Pickup,4,3,3,4,"Airport Pickup + Late Checkout, Spa + Dinner",Evening,Yes,Silver,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,Limited Food Options
26–35,Male,Nepal,Employed,51K–75K,6–10,6–10,Leisure,Standard,OTA,"Spa, Gym, Airport Pickup",3,4,3,4,"Wellness Package, Gym + Breakfast",Afternoon,Yes,Gold,Rarely,5,Definitely Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, Limited Food Options, Limited Wellness Services"
<18,Male,Northern Mariana Islands,Employed,25K–50K,3–5,3–5,Business,Deluxe,Hotel Website,"Gym, Pool, Spa, Airport Pickup",3,3,3,4,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Silver,Frequently,4,Probably No,₹2000–₹5000,Yes,"High Prices, Poor Staff Behavior"
51–65,Male,Moldova,Retired,25K–50K,3–5,1–2 days,Leisure,Budget,Hotel Website,"Spa, Airport Pickup, Room Service",2,4,3,4,"Wellness Package, Gym + Breakfast",Afternoon,No,None,Rarely,3,Probably Yes,₹8001–₹12000,Yes,"Delayed Check-in, Poor Staff Behavior"
36–50,Prefer not to say,Congo,Retired,51K–75K,6–10,>10,Leisure,Standard,Agent,Spa,4,3,5,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,Yes,Silver,Sometimes,3,Definitely Yes,₹8001–₹12000,No,"Poor Staff Behavior, Lack of Cleanliness, Limited Food Options"
36–50,Male,Bouvet Island (Bouvetoya),Retired,76K–1L,3–5,3–5,Business,Budget,OTA,"Gym, Spa",3,4,4,2,Gym + Breakfast,Afternoon,No,None,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,"Limited Food Options, Limited Wellness Services, High Prices"
36–50,Male,Comoros,Employed,>1L,3–5,3–5,Leisure,Standard,Hotel Website,"Restaurant, Airport Pickup, Pool",3,2,4,3,"Spa + Dinner, Airport Pickup + Late Checkout",Afternoon,No,None,Frequently,4,Definitely Yes,₹5001–₹8000,Yes,"Poor Staff Behavior, High Prices, Limited Food Options"
18–25,Female,Spain,Employed,25K–50K,3–5,1–2 days,Leisure,Deluxe,Hotel Website,"Pool, Restaurant",4,3,4,5,"Gym + Breakfast, Wellness Package",Evening,No,None,Frequently,4,Definitely Yes,₹2000–₹5000,No,Poor Staff Behavior
26–35,Male,Moldova,Unemployed,25K–50K,6–10,3–5,Leisure,Standard,OTA,"Airport Pickup, Restaurant, Spa, Gym",2,2,4,2,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Rarely,3,Definitely Yes,<₹2000,Yes,"Poor Staff Behavior, Lack of Cleanliness"
18–25,Female,Paraguay,Self-Employed,>1L,1–2 times,3–5,Leisure,Deluxe,OTA,"Gym, Pool, Room Service, Restaurant",2,3,1,3,"Gym + Breakfast, Wellness Package",Late Night,Yes,Basic,Sometimes,5,Definitely Yes,₹2000–₹5000,Yes,High Prices
51–65,Female,Tuvalu,Student,76K–1L,6–10,1–2 days,Leisure,Standard,OTA,"Airport Pickup, Spa, Gym, Restaurant",3,4,3,4,"Wellness Package, Gym + Breakfast",Morning,Yes,Silver,Frequently,3,Definitely Yes,₹8001–₹12000,Yes,Limited Wellness Services
36–50,Male,Barbados,Student,76K–1L,1–2 times,1–2 days,Other,Deluxe,OTA,"Pool, Spa",4,3,5,3,Spa + Dinner,Afternoon,No,None,Sometimes,3,Definitely Yes,₹5001–₹8000,No,"High Prices, Limited Wellness Services, Lack of Cleanliness"
26–35,Male,Pakistan,Employed,25K–50K,3–5,6–10,Leisure,Standard,OTA,"Gym, Pool, Airport Pickup",4,3,3,3,"Spa + Dinner, Gym + Breakfast",Morning,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,Limited Food Options
18–25,Female,Fiji,Unemployed,51K–75K,6–10,1–2 days,Business,Standard,OTA,"Spa, Room Service",3,4,5,4,Gym + Breakfast,Morning,Yes,Basic,Sometimes,3,Probably Yes,₹8001–₹12000,Yes,
26–35,Female,Madagascar,Employed,76K–1L,1–2 times,1–2 days,Business,Deluxe,Hotel Website,"Gym, Room Service",5,4,5,3,Gym + Breakfast,Late Night,No,None,Rarely,2,Not Sure,₹2000–₹5000,No,
26–35,Male,Cayman Islands,Employed,51K–75K,1–2 times,3–5,Leisure,Budget,Hotel Website,"Room Service, Restaurant, Spa",3,3,3,4,Spa + Dinner,Evening,Yes,Basic,Sometimes,3,Probably Yes,₹8001–₹12000,No,
36–50,Female,Georgia,Employed,51K–75K,1–2 times,6–10,Leisure,Deluxe,Walk-in,"Restaurant, Gym, Spa, Room Service",3,4,3,3,Gym + Breakfast,Evening,Yes,Platinum,Rarely,3,Not Sure,₹5001–₹8000,No,
36–50,Male,Botswana,Self-Employed,<25K,3–5,1–2 days,Business,Deluxe,Hotel Website,"Pool, Airport Pickup, Gym, Restaurant",3,3,3,4,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Platinum,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,
51–65,Prefer not to say,Saint Kitts and Nevis,Retired,51K–75K,6–10,3–5,Leisure,Standard,OTA,"Restaurant, Airport Pickup, Spa",4,5,3,5,Airport Pickup + Late Checkout,Evening,No,None,Frequently,2,Probably Yes,₹2000–₹5000,No,"High Prices, Limited Food Options, Poor Staff Behavior"
26–35,Male,Ethiopia,Employed,25K–50K,1–2 times,1–2 days,Business,Budget,Agent,"Restaurant, Pool",4,5,3,3,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Basic,Rarely,4,Definitely Yes,>₹12000,Yes,Limited Food Options
18–25,Female,Palestinian Territory,Self-Employed,51K–75K,6–10,1–2 days,Leisure,Budget,Agent,"Restaurant, Spa",4,4,4,2,Airport Pickup + Late Checkout,Evening,Yes,Gold,Sometimes,4,Definitely Yes,<₹2000,Yes,Delayed Check-in
36–50,Female,Cape Verde,Unemployed,>1L,3–5,1–2 days,Leisure,Suite,OTA,"Restaurant, Pool, Airport Pickup, Spa",2,2,2,3,Airport Pickup + Late Checkout,Afternoon,No,None,Rarely,5,Definitely Yes,₹2000–₹5000,Yes,
36–50,Female,Turkmenistan,Employed,25K–50K,3–5,6–10,Leisure,Deluxe,Hotel Website,Room Service,3,3,4,3,"Gym + Breakfast, Spa + Dinner",Evening,No,None,Rarely,3,Definitely Yes,₹5001–₹8000,No,High Prices
36–50,Female,Sri Lanka,Employed,76K–1L,>10,1–2 days,Leisure,Budget,Walk-in,Room Service,4,4,4,4,Airport Pickup + Late Checkout,Evening,No,None,Frequently,3,Definitely Yes,₹8001–₹12000,Yes,
36–50,Male,Kiribati,Employed,25K–50K,3–5,1–2 days,Business,Standard,Hotel Website,Airport Pickup,4,3,2,3,"Gym + Breakfast, Spa + Dinner",Morning,Yes,Silver,Sometimes,5,Definitely Yes,<₹2000,Yes,Limited Wellness Services
26–35,Male,Bulgaria,Self-Employed,51K–75K,3–5,3–5,Leisure,Standard,Agent,"Airport Pickup, Gym",4,5,5,3,"Wellness Package, Gym + Breakfast",Evening,Yes,Basic,Rarely,5,Probably No,₹8001–₹12000,Yes,"Poor Staff Behavior, Limited Food Options, High Prices"
36–50,Male,Marshall Islands,Employed,>1L,1–2 times,6–10,Business,Deluxe,OTA,"Restaurant, Spa",4,4,4,4,"Spa + Dinner, Gym + Breakfast",Morning,Yes,Basic,Sometimes,3,Probably Yes,₹8001–₹12000,Yes,"Delayed Check-in, Poor Staff Behavior"
26–35,Male,Spain,Self-Employed,25K–50K,1–2 times,1–2 days,Medical,Budget,OTA,"Airport Pickup, Gym, Spa, Pool",3,3,4,4,Gym + Breakfast,Evening,No,None,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,
18–25,Female,Costa Rica,Self-Employed,<25K,3–5,3–5,Business,Standard,OTA,Room Service,5,4,3,3,"Spa + Dinner, Wellness Package",Afternoon,No,None,Rarely,4,Probably No,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness, Limited Food Options"
18–25,Male,Paraguay,Employed,51K–75K,1–2 times,1–2 days,Medical,Deluxe,Hotel Website,"Gym, Spa, Airport Pickup, Room Service",4,3,4,2,"Spa + Dinner, Airport Pickup + Late Checkout",Afternoon,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,No,"High Prices, Poor Staff Behavior, Lack of Cleanliness"
